"date","time","city","venue","link","vip"
11/05/2016,5:00PM,"Columbia, SC",Koger Center For The Arts,http://www.kogercenterforthearts.com/event.php?id=198,http://www.cidentertainment.com/events/octonauts-tour-2016
11/06/2016,5:00PM,"Nashville, TN",Andrew Jackson Hall,https://patron.tpac.org/events/detail/octonauts-live-2016-tpac,http://www.cidentertainment.com/events/octonauts-tour-2016/
11/09/2016,6:00PM,"Wilmington, NC",The Wilson Center at Cape Fear Comm. College,http://cfcc.edu/capefearstage/octonauts-live/,http://www.cidentertainment.com/events/octonauts-tour-2016/
11/10/2016,6:00PM,"Charleston, SC",Charleston Gaillard Center,http://www.gaillardcenter.com/buy-tickets/7e6d4ef9-4534-4758-a247-f288a33c9…uts-live!.html,http://www.cidentertainment.com/events/octonauts-tour-2016/
11/11/2016,6:00PM,"Durham, NC",Durham PAC,http://www.ticketmaster.com/octonauts-live-durham-north-carolina-11-11-2016…0050959B088396,http://www.cidentertainment.com/events/octonauts-tour-2016/
11/12/2016,2:00PM,"Baltimore, MD",The Hippodrome Theater :: Baltimore,http://www.ticketmaster.com/octonauts-live-baltimore-maryland-11-12-2016/ev…005095B1704713,http://www.cidentertainment.com/events/octonauts-tour-2016/
11/13/2016,2:00PM,"Washington, DC",Warner Theatre,http://concerts.livenation.com/event/15005099D03C38EE,http://www.cidentertainment.com/events/octonauts-tour-2016/
11/15/2016,6:00PM,"Norfolk, VA",Chrysler Hall,http://www.ticketmaster.com/event/010050970B5980AA,http://www.cidentertainment.com/events/octonauts-tour-2016
11/16/2016,6:00PM,"Wilkes-Barre, PA",Kirby Center for the Performing Arts,http://www.ticketmaster.com/event/02005094D4D08D9C,http://www.cidentertainment.com/events/octonauts-tour-2016/
11/18/2016,6:00PM,"Glenside, PA",Keswick Theatre,http://axs.com/events/309935/octonauts-live-tickets,http://www.cidentertainment.com/events/octonauts-tour-2016/
11/19/2016,2:00PM,"Morristown, NJ",Mayo Performing Arts Center,http://www.mayoarts.org/event/the-octonauts,http://www.cidentertainment.com/events/octonauts-tour-2016/
11/19/2016,5:00PM,"Morristown, NJ",Mayo Performing Arts Center,http://www.mayoarts.org/event/the-octonauts,http://www.cidentertainment.com/events/octonauts-tour-2016
11/20/2016,5:00PM,"Boston, MA",Orpheum Theater,http://www.ticketmaster.com/event/01005094C5016C1C,http://www.cidentertainment.com/events/octonauts-tour-2016/
11/22/2016,6:00PM,"Bethlehem, PA",Sands Bethlehem Event Center,http://www.ticketmaster.com/event/0200509A998F2358,http://www.cidentertainment.com/events/octonauts-tour-2016/
11/23/2016,4:00PM,"Red Bank, NJ",Count Basie Theatre,http://www.countbasietheatre.org/calendar/show/show.asp?id=43250577,http://www.cidentertainment.com/events/octonauts-tour-2016
11/25/2016,5:00PM,"Wallingford, CT",Toyota Oakdale Theatre,http://www.ticketmaster.com/event/1D005094946720DB,http://www.cidentertainment.com/events/octonauts-tour-2016/
11/26/2016,2:00PM,"Brookville, NY",Tilles Center For the Performing Arts,http://www.ticketmaster.com/octonauts-live-brookville-new-york-11-26-2016/e…005095F45F9D6E,http://www.cidentertainment.com/events/octonauts-tour-2016/
11/27/2016,5:00PM,"Richmond, VA",Carpenter Theater,http://www.etix.com/ticket/p/3513868?partner_id=1010,http://www.cidentertainment.com/events/octonauts-tour-2016/
11/29/2016,6:00PM,"Atlanta, GA",Cobb Energy Performing Arts Centre,http://www.ticketmaster.com/octonauts-live-atlanta-georgia-11-29-2016/event…005095DC08EE9A,http://www.cidentertainment.com/events/octonauts-tour-2016/
11/30/2016,6:00PM,"Jacksonville, FL",Florida Theater,http://www.ticketmaster.com/octonauts-live-jacksonville-florida-11-30-2016/…005095AD798989,http://www.cidentertainment.com/events/octonauts-tour-2016/
12/01/2016,6:00PM,"Ft. Myers, FL",Barbara B Mann Performing Arts Hall,http://bbmannpah.com/performance.php?id=879,http://www.cidentertainment.com/events/octonauts-tour-2016
12/02/2016,6:00PM,"Clearwater, FL",Ruth Eckerd Hall,http://www.rutheckerdhall.com/event/octonauts-live/19148/,http://www.cidentertainment.com/events/octonauts-tour-2016/
12/03/2016,5:00PM,"Orlando, FL",Dr. Phillips Center for the Performing Arts,https://www.drphillipscenter.org/shows-and-events/Shows-Events/family/20120…auts-live.stml,http://www.cidentertainment.com/events/octonauts-tour-2016/
12/04/2016,5:00PM,"Miami Beach, FL",Fillmore Miami Beach,http://www.ticketmaster.com/event/0D005095E6F1B6E1,http://www.cidentertainment.com/events/octonauts-tour-2016/
